name,team,position,badge
Rayna Topalska,Operations,Project Manager,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""rayna-topalska-1b634560""><a class=""LI-simple-link"" href='https://de.linkedin.com/in/rayna-topalska-1b634560?trk=profile-badge'>Rayna Topalska</a></div>"
Joseph A. Bartolo,Community Management,Mentor Coordinator,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""joseph-anthony-bartolo-b10a6517""><a class=""LI-simple-link"" href='https://mt.linkedin.com/in/joseph-anthony-bartolo-b10a6517?trk=profile-badge'>Joseph Anthony Bartolo</a></div>"
Malte Zander,Marketing & Communications,Community and Content Lead,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""de_DE"" data-type=""vertical"" data-theme=""light"" data-vanity=""malte-zander-4794b2130""><a class=""LI-simple-link"" href='https://de.linkedin.com/in/malte-zander-4794b2130?trk=profile-badge'>Malte Zander</a></div>"
Giovanna Pergher,Marketing & Communications,Content Strategy Advisor,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""giovanna-pergher""><a class=""LI-simple-link"" href=""https://de.linkedin.com/in/giovanna-pergher?trk=profile-badge"">Giovanna Pergher</a></div>"
Brigitte Tanti,Institutions (Partner Management),Project Manager,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""brigittetanti""><a class=""LI-simple-link"" href='https://mt.linkedin.com/in/brigittetanti?trk=profile-badge'>Brigitte Tanti</a></div>"
Benedikt Rasshofer,Civil society (Partner Management),"Civil Society Country Ambassador (Switzerland),  Economic Affairs Advisor","<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""de_DE"" data-type=""vertical"" data-theme=""light"" data-vanity=""benediktrasshofer""><a class=""LI-simple-link"" href='https://ch.linkedin.com/in/benediktrasshofer?trk=profile-badge'>Benedikt J. Raßhofer</a></div>"
Beatrice Schulz,Civil society (Partner Management),"Population Amabssador Youth, Mentor","<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""de_DE"" data-type=""vertical"" data-theme=""light"" data-vanity=""beatriceschulz""><a class=""LI-simple-link"" href='https://de.linkedin.com/in/beatriceschulz?trk=profile-badge'>Beatrice Schulz, Dr.</a></div>"
Teo Wen Qi Claire,Marketing & Communications,Art Director,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""claire-teo""><a class=""LI-simple-link"" href='https://sg.linkedin.com/in/claire-teo?trk=profile-badge'>Claire Teo</a></div>"
Loke Xin Xun,Marketing & Communications,Creative Director,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""lokexinxun""><a class=""LI-simple-link"" href='https://www.linkedin.com/in/lokexinxun?trk=profile-badge'>Loke Xin Xun</a></div>"
Scotty Shaw,Decision Making,National Curator of the United States + Digital Finance,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""scottyshaw""><a class=""LI-simple-link"" href='https://www.linkedin.com/in/scottyshaw?trk=profile-badge'>Scotty Shaw</a></div>"
Andreas Lefkatis,Decision Making,National Currator,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""lefkatis""><a class=""LI-simple-link"" href='https://cy.linkedin.com/in/lefkatis?trk=profile-badge'>Andreas Lefkatis</a></div>"
Kira Biernat,Marketing & Communications,Content Creator,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""de_DE"" data-type=""vertical"" data-theme=""light"" data-vanity=""kira-biernat-b0483315b""><a class=""LI-simple-link"" href='https://de.linkedin.com/in/kira-biernat-b0483315b?trk=profile-badge'>Kira Biernat</a></div>"
Jonas Köhler,Marketing & Communications,Social Media Manager,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""de_DE"" data-type=""vertical"" data-theme=""light"" data-vanity=""jonas-köhler-030b0b198""><a class=""LI-simple-link"" href='https://de.linkedin.com/in/jonas-k%C3%B6hler-030b0b198?trk=profile-badge'>Jonas Köhler</a></div>"
Tim Kretz,Website,Designer,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""de_DE"" data-type=""vertical"" data-theme=""light"" data-vanity=""tim-kretz-887213154""><a class=""LI-simple-link"" href='https://de.linkedin.com/in/tim-kretz-887213154?trk=profile-badge'>Tim Kretz</a></div>"
Arnaud Thien,IT Infrastructure,Deputy,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""de_DE"" data-type=""vertical"" data-theme=""light"" data-vanity=""arnaudthien""><a class=""LI-simple-link"" href='https://de.linkedin.com/in/arnaudthien?trk=profile-badge'>Arnaud Thien</a></div>"
Carla Schell,Community Management,Domain Lead Deputy,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""de_DE"" data-type=""vertical"" data-theme=""light"" data-vanity=""carla-schell-b95b19141""><a class=""LI-simple-link"" href='https://de.linkedin.com/in/carla-schell-b95b19141?trk=profile-badge'>Carla Schell</a></div>"
Kenny Strubel,Website,Developer,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""knystr""><a class=""LI-simple-link"" href='https://de.linkedin.com/in/knystr?trk=profile-badge'>Kenny Strubel</a></div>"
Liliana Cannas,Marketing & Communications,Social Media Manager,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""liliana-cannas-1904067""><a class=""LI-simple-link"" href='https://uk.linkedin.com/in/liliana-cannas-1904067?trk=profile-badge'>Liliana Cannas</a></div>"
